stable_id,mmsi,imo,flag_norm,vessel_type_norm,nav_status_norm,destination_norm,port_name_norm,locode_norm,timestamp_date,timestamp_full,latitude,longitude
266232000_2021-01-01T00-04-03_00-00_54.89955_13.29681,266232000,9334959,SE,cargo ship,under way using engine,LUBECK,unknown,unknown,2021-01-01,2021-01-01T00:04:03+00:00,54.899545,13.296807
266232000_2021-01-01T00-50-04_00-00_54.85241_13.04476,266232000,9334959,SE,cargo ship,under way using engine,LUBECK,unknown,unknown,2021-01-01,2021-01-01T00:50:04+00:00,54.852407,13.04476
314019000_2021-01-01T03-41-43_00-00_54.72006_13.55420,314019000,9222429,BB,cargo ship,under way using engine,PLSZZ,unknown,unknown,2021-01-01,2021-01-01T03:41:43+00:00,54.720063,13.554198
245930000_2021-01-01T09-22-16_00-00_55.23733_13.00483,245930000,9213741,NL,cargo ship,under way using engine,STORUGNS,unknown,unknown,2021-01-01,2021-01-01T09:22:16+00:00,55.237333,13.004833
212521000_2021-01-01T12-51-37_00-00_54.89017_13.50859,212521000,9358278,CY,cargo ship,under way using engine,RIGA,unknown,unknown,2021-01-01,2021-01-01T12:51:37+00:00,54.890165,13.508593
212521000_2021-01-01T14-14-37_00-00_54.97057_13.89010,212521000,9358278,CY,cargo ship,under way using engine,RIGA,unknown,unknown,2021-01-01,2021-01-01T14:14:37+00:00,54.970575,13.890103
235059487_2021-01-01T20-21-04_00-00_55.02369_13.85253,235059487,9357597,GB,cargo ship,under way using engine,LUBECK,unknown,unknown,2021-01-01,2021-01-01T20:21:04+00:00,55.023688,13.852527
314021000_2021-01-01T21-20-12_00-00_55.23477_13.75872,314021000,9279020,BB,cargo ship,under way using engine,GREENORE,unknown,unknown,2021-01-01,2021-01-01T21:20:12+00:00,55.234772,13.758722
235059487_2021-01-01T21-20-22_00-00_54.94301_13.48680,235059487,9357597,GB,cargo ship,under way using engine,LUBECK,unknown,unknown,2021-01-01,2021-01-01T21:20:22+00:00,54.943007,13.486798
235059487_2021-01-01T21-33-05_00-00_54.92254_13.39686,235059487,9357597,GB,cargo ship,under way using engine,LUBECK,unknown,unknown,2021-01-01,2021-01-01T21:33:05+00:00,54.92254,13.396863
235059487_2021-01-01T21-50-04_00-00_54.89546_13.27501,235059487,9357597,GB,cargo ship,under way using engine,LUBECK,unknown,unknown,2021-01-01,2021-01-01T21:50:04+00:00,54.895463,13.275007
235059487_2021-01-01T22-07-11_00-00_54.87130_13.15059,235059487,9357597,GB,cargo ship,under way using engine,LUBECK,unknown,unknown,2021-01-01,2021-01-01T22:07:11+00:00,54.8713,13.15059
