strategy,query,rank,chunk_id,port,date,distance,auto_relevance_0_2,manual_relevance_0_2
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,1,A_PC_220530000_2021-01-01T23-20-06_LVVNT_portcall,LVVNT,2021-01-01,0.3689703941345215,1,
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,2,A_PC_276848000_2021-01-01T01-27-45_LVVNT_portcall,LVVNT,2021-01-01,0.3848094940185547,1,
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,3,A_PC_245286000_2021-01-01T00-38-44_LVVNT_portcall,LVVNT,2021-01-01,0.5129634737968445,1,
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,4,A_AIS_538003490_2021-01-01T12-24-38_54.86516_13.31565_ais,LVVNT,2021-01-01,0.5505387187004089,1,
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,5,A_AIS_538003490_2021-01-01T11-57-48_54.83914_13.19165_ais,LVVNT,2021-01-01,0.552201509475708,1,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,1,A_PC_276848000_2021-01-01T01-27-45_LVVNT_portcall,LVVNT,2021-01-01,0.3808788061141968,2,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,2,A_PC_220530000_2021-01-01T23-20-06_LVVNT_portcall,LVVNT,2021-01-01,0.42164498567581177,1,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,3,A_PC_245286000_2021-01-01T00-38-44_LVVNT_portcall,LVVNT,2021-01-01,0.4735122323036194,1,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,4,A_AIS_538003490_2021-01-01T13-53-07_54.94689_13.73474_ais,LVVNT,2021-01-01,0.5136251449584961,1,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,5,A_AIS_538003490_2021-01-01T12-51-38_54.88978_13.44074_ais,LVVNT,2021-01-01,0.5142837762832642,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,1,A_PC_209543000_2021-01-02T11-29-42_LVRIX_portcall,LVRIX,2021-01-02,0.5994828939437866,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,2,A_PC_230666000_2021-01-02T05-05-28_LVRIX_portcall,LVRIX,2021-01-02,0.623619556427002,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,3,A_PC_265411000_2021-01-01T09-39-36_SEUME_portcall,SEUME,2021-01-01,0.6257535219192505,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,4,A_PC_236039000_2021-01-01T09-36-41_SENRK_portcall,SENRK,2021-01-01,0.6302650570869446,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,5,A_PC_636017077_2021-01-01T14-22-52_PLSWI_portcall,PLSWI,2021-01-01,0.6373432278633118,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,1,A_PC_220530000_2021-01-08T21-19-40_LVVNT_portcall,LVVNT,2021-01-08,0.546754002571106,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,2,A_PC_538002614_2021-01-03T17-46-58_LVVNT_portcall,LVVNT,2021-01-03,0.5545418858528137,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,3,A_PC_245930000_2021-01-11T08-39-06_LVVNT_portcall,LVVNT,2021-01-11,0.5705516338348389,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,4,A_PC_538003490_2021-01-03T05-17-45_LVVNT_portcall,LVVNT,2021-01-03,0.6044163703918457,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,5,A_PC_245286000_2021-01-09T12-44-23_LVVNT_portcall,LVVNT,2021-01-09,0.6740294098854065,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,1,A_AIS_266232000_2021-01-01T00-28-53_54.8742_13.16138_ais,LUBECK,2021-01-01,0.4384281039237976,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,2,A_AIS_266232000_2021-01-01T00-50-04_54.85241_13.04476_ais,LUBECK,2021-01-01,0.44055813550949097,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,3,A_AIS_266232000_2021-01-01T00-04-03_54.89954_13.29681_ais,LUBECK,2021-01-01,0.4421987533569336,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,4,A_AIS_266232000_2021-01-01T00-45-53_54.85669_13.06784_ais,LUBECK,2021-01-01,0.446891725063324,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,5,A_AIS_235059487_2021-01-01T20-16-34_55.029_13.87561_ais,LUBECK,2021-01-01,0.45682650804519653,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,1,A_PC_636014622_2021-01-05T16-33-47_LVVNT_portcall,LVVNT,2021-01-05,0.5960272550582886,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,2,A_PC_255805881_2021-01-04T18-43-20_LVVNT_portcall,LVVNT,2021-01-04,0.6046692728996277,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,3,A_PC_209531000_2021-01-04T06-46-26_LVVNT_portcall,LVVNT,2021-01-04,0.6082612872123718,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,4,A_PC_538002614_2021-01-03T17-46-58_LVVNT_portcall,LVVNT,2021-01-03,0.6112725734710693,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,5,A_PC_275110000_2021-01-10T11-23-36_LVVNT_portcall,LVVNT,2021-01-10,0.6197009086608887,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,1,A_PC_311001007_2021-01-13T16-12-11_LVVNT_portcall,LVVNT,2021-01-13,0.6372065544128418,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,2,A_PC_636019826_2021-01-07T19-15-40_LVVNT_portcall,LVVNT,2021-01-07,0.6390040516853333,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,3,A_PC_305509000_2021-01-13T15-13-26_LVVNT_portcall,LVVNT,2021-01-13,0.6419031620025635,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,4,A_PC_276848000_2021-01-01T01-27-45_LVVNT_portcall,LVVNT,2021-01-01,0.651450514793396,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,5,A_PC_215818000_2021-01-06T01-24-12_LVVNT_portcall,LVVNT,2021-01-06,0.6590853929519653,1,
A,Show representative tanker-related events for LVVNT around 2021-01-03.,1,A_PC_538002614_2021-01-03T17-46-58_LVVNT_portcall,LVVNT,2021-01-03,0.3924536193721613,1,
A,Show representative tanker-related events for LVVNT around 2021-01-03.,2,A_PC_538003490_2021-01-03T05-17-45_LVVNT_portcall,LVVNT,2021-01-03,0.47287481315015656,1,
B,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,1,B_SUM_LVVNT_2021-01-01,LVVNT,2021-01-01,0.36986847509546117,2,
B,List AIS incident-like position jumps for MMSI events around 2021-01-01.,1,B_SUM_SENRK_2021-01-01,SENRK,2021-01-01,0.6722804307937622,1,
B,List AIS incident-like position jumps for MMSI events around 2021-01-01.,2,B_SUM_SESUS_2021-01-02,SESUS,2021-01-02,0.682161808013916,1,
B,List AIS incident-like position jumps for MMSI events around 2021-01-01.,3,B_SUM_LVRIX_2021-01-02,LVRIX,2021-01-02,0.6926197409629822,1,
B,List AIS incident-like position jumps for MMSI events around 2021-01-01.,4,B_SUM_SEGVX_2021-01-02,SEGVX,2021-01-02,0.696993350982666,1,
B,List AIS incident-like position jumps for MMSI events around 2021-01-01.,5,B_SUM_SEOER_2021-01-02,SEOER,2021-01-02,0.6985056400299072,1,
B,Were there unusual dwell-time outliers at LVVNT during January 2021?,1,B_SUM_LVVNT_2021-01-08,LVVNT,2021-01-08,0.5205210447311401,2,
B,Were there unusual dwell-time outliers at LVVNT during January 2021?,2,B_SUM_LVVNT_2021-01-01,LVVNT,2021-01-01,0.5280441641807556,2,
B,Were there unusual dwell-time outliers at LVVNT during January 2021?,3,B_SUM_LVVNT_2021-01-09,LVVNT,2021-01-09,0.5330134630203247,2,
B,Were there unusual dwell-time outliers at LVVNT during January 2021?,4,B_SUM_LVVNT_2021-01-03,LVVNT,2021-01-03,0.5412740111351013,2,
B,Were there unusual dwell-time outliers at LVVNT during January 2021?,5,B_SUM_LVVNT_2021-01-11,LVVNT,2021-01-11,0.5571807622909546,2,
B,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,1,B_SUM_LVVNT_2021-01-08,LVVNT,2021-01-08,0.5496892929077148,1,
B,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,2,B_SUM_LVVNT_2021-01-04,LVVNT,2021-01-04,0.5649993419647217,1,
B,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,3,B_SUM_LVVNT_2021-01-09,LVVNT,2021-01-09,0.5691106915473938,1,
B,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,4,B_SUM_LVVNT_2021-01-01,LVVNT,2021-01-01,0.569181501865387,1,
B,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,5,B_SUM_LVVNT_2021-01-05,LVVNT,2021-01-05,0.5697633624076843,1,
B,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,1,B_SUM_LVVNT_2021-01-06,LVVNT,2021-01-06,0.5411568880081177,1,
B,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,2,B_SUM_LVVNT_2021-01-07,LVVNT,2021-01-07,0.5589991211891174,1,
B,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,3,B_SUM_LVVNT_2021-01-05,LVVNT,2021-01-05,0.5751546621322632,1,
B,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,4,B_SUM_LVVNT_2021-01-10,LVVNT,2021-01-10,0.5799976587295532,1,
B,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,5,B_SUM_LVVNT_2021-01-08,LVVNT,2021-01-08,0.5858607292175293,1,
C,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,1,C_WIN_LVVNT_0_2021-01-01,LVVNT,2021-01-01,0.38803659047145256,2,
C,List AIS incident-like position jumps for MMSI events around 2021-01-01.,1,C_WIN_SENCS_0_2021-01-02,SENCS,2021-01-02,0.662418782711029,1,
C,List AIS incident-like position jumps for MMSI events around 2021-01-01.,2,C_WIN_SEMMA_0_2021-01-01,SEMMA,2021-01-01,0.6686282157897949,1,
C,List AIS incident-like position jumps for MMSI events around 2021-01-01.,3,C_WIN_SESTE_0_2021-01-01,SESTE,2021-01-01,0.6686862707138062,1,
C,List AIS incident-like position jumps for MMSI events around 2021-01-01.,4,C_WIN_SENRK_0_2021-01-01,SENRK,2021-01-01,0.6715099811553955,1,
C,List AIS incident-like position jumps for MMSI events around 2021-01-01.,5,C_WIN_LVRIX_5_2021-01-02,LVRIX,2021-01-02,0.6805902719497681,1,
C,Were there unusual dwell-time outliers at LVVNT during January 2021?,1,C_WIN_LVVNT_15_2021-01-09,LVVNT,2021-01-09,0.46749436689186397,1,
C,Were there unusual dwell-time outliers at LVVNT during January 2021?,2,C_WIN_LVVNT_10_2021-01-05,LVVNT,2021-01-05,0.4710184417105413,1,
C,Were there unusual dwell-time outliers at LVVNT during January 2021?,3,C_WIN_LVVNT_5_2021-01-03,LVVNT,2021-01-03,0.4751346623751602,1,
C,Were there unusual dwell-time outliers at LVVNT during January 2021?,4,C_WIN_LVVNT_0_2021-01-01,LVVNT,2021-01-01,0.47614404478312666,1,
C,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,1,C_WIN_LVVNT_5_2021-01-03,LVVNT,2021-01-03,0.6303350911348131,1,
C,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,2,C_WIN_LVVNT_10_2021-01-05,LVVNT,2021-01-05,0.6304327087939736,1,
C,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,3,C_WIN_LVVNT_0_2021-01-01,LVVNT,2021-01-01,0.631659204782308,1,
C,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,4,C_WIN_LVVNT_15_2021-01-09,LVVNT,2021-01-09,0.6335617363696674,1,
C,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,1,C_WIN_LVVNT_25_2021-01-13,LVVNT,2021-01-13,0.5427982807159424,1,
C,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,2,C_WIN_LVVNT_20_2021-01-11,LVVNT,2021-01-11,0.552054762840271,1,
C,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,3,C_WIN_LVVNT_15_2021-01-09,LVVNT,2021-01-09,0.5620048642158508,1,
C,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,4,C_WIN_LVVNT_10_2021-01-05,LVVNT,2021-01-05,0.562384843826294,1,
C,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,5,C_WIN_LVVNT_0_2021-01-01,LVVNT,2021-01-01,0.5632380247116089,1,
