strategy,query,rank,chunk_id,port,date,distance,auto_relevance_0_2,manual_relevance_0_2
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,1,A_PC_220530000_2021-01-01T23-20-06_LVVNT_portcall,LVVNT,2021-01-01,0.36897029621643507,1,
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,2,A_PC_276848000_2021-01-01T01-27-45_LVVNT_portcall,LVVNT,2021-01-01,0.384809407727554,1,
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,3,A_PC_245286000_2021-01-01T00-38-44_LVVNT_portcall,LVVNT,2021-01-01,0.5129636625188085,1,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,1,A_PC_276848000_2021-01-01T01-27-45_LVVNT_portcall,LVVNT,2021-01-01,0.3808789851427872,2,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,2,A_PC_220530000_2021-01-01T23-20-06_LVVNT_portcall,LVVNT,2021-01-01,0.4216447971611249,1,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,3,A_PC_245286000_2021-01-01T00-38-44_LVVNT_portcall,LVVNT,2021-01-01,0.4735119608940186,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,1,A_PC_255806191_2021-01-02T06-16-54_SENCS_portcall,SENCS,2021-01-02,0.5698190331459045,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,2,A_PC_209543000_2021-01-02T11-29-42_LVRIX_portcall,LVRIX,2021-01-02,0.5994828939437866,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,3,A_PC_266438000_2021-01-01T22-07-32_SESLI_portcall,SESLI,2021-01-01,0.6116477251052856,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,4,A_PC_265411000_2021-01-02T11-07-44_SEIGG_portcall,SEIGG,2021-01-02,0.6185241937637329,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,5,A_PC_212109000_2021-01-02T21-26-32_SEOXE_portcall,SEOXE,2021-01-02,0.6209466457366943,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,1,A_PC_538003490_2021-01-03T05-17-45_LVVNT_portcall,LVVNT,2021-01-03,0.6044161804469295,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,2,A_PC_245286000_2021-01-01T00-38-44_LVVNT_portcall,LVVNT,2021-01-01,0.6784530309398387,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,1,A_AIS_266232000_2021-01-01T00-28-53_54.8742_13.16138_ais,LUBECK,2021-01-01,0.4384281039237976,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,2,A_AIS_266232000_2021-01-01T00-50-04_54.85241_13.04476_ais,LUBECK,2021-01-01,0.44055813550949097,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,3,A_AIS_266232000_2021-01-01T00-04-03_54.89954_13.29681_ais,LUBECK,2021-01-01,0.4421987533569336,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,4,A_AIS_266232000_2021-01-01T00-45-53_54.85669_13.06784_ais,LUBECK,2021-01-01,0.446891725063324,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,5,A_AIS_244519000_2021-01-01T00-50-44_55.05139_13.90133_ais,LUBECK,2021-01-01,0.45740020275115967,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,1,A_PC_255805881_2021-01-04T18-43-20_LVVNT_portcall,LVVNT,2021-01-04,0.6046692728996277,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,2,A_PC_538002614_2021-01-03T17-46-58_LVVNT_portcall,LVVNT,2021-01-03,0.606964111328125,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,3,A_PC_209531000_2021-01-04T06-46-26_LVVNT_portcall,LVVNT,2021-01-04,0.6082612872123718,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,4,A_PC_220530000_2021-01-01T23-20-06_LVVNT_portcall,LVVNT,2021-01-01,0.6413468718528748,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,5,A_PC_245525000_2021-01-03T03-26-53_LVVNT_portcall,LVVNT,2021-01-03,0.6657438278198242,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,1,A_PC_276848000_2021-01-01T01-27-45_LVVNT_portcall,LVVNT,2021-01-01,0.651450514793396,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,2,A_PC_538002614_2021-01-03T17-46-58_LVVNT_portcall,LVVNT,2021-01-03,0.6845742464065552,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,3,A_PC_220530000_2021-01-01T23-20-06_LVVNT_portcall,LVVNT,2021-01-01,0.6962704658508301,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,4,A_PC_538003490_2021-01-03T05-17-45_LVVNT_portcall,LVVNT,2021-01-03,0.7024292945861816,1,
